[2020-07-09T13:50:31+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 2105030890; save: fintech; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-07-09T13:50:31+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 2105030890; save: fintech; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-07-09T14:35:29+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 2105030890; save: fintech; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-07-09T14:35:29+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 2105030890; save: fintech; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-07-09T19:21:10+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-07-09T19:21:11+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-07-09T19:31:28+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-07-09T19:31:28+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-07-09T22:31:30+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-07-09T22:31:31+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-07-09T22:41:18+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-07-09T22:41:18+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-07-09T22:42:12+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-07-09T22:42:12+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-07-09T22:45:20+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-07-09T22:45:20+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-07-09T22:51:03+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-07-09T22:51:04+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-07-09T22:52:41+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-07-09T22:52:41+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-07-09T23:53:36+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-07-09T23:53:36+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-07-10T00:21:00+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-07-10T00:21:00+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-07-10T10:06:43+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 2105030890; save: fintech; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-07-10T10:06:43+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 2105030890; save: fintech; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-07-10T11:05:59+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 2105030890; save: fintech; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-07-10T11:05:59+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 2105030890; save: fintech; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-07-10T13:48:02+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 2105030890; save: fintech; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-07-10T13:48:02+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 2105030890; save: fintech; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-07-10T15:33:13+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 2105030890; save: fintech; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-07-10T15:33:13+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 2105030890; save: fintech; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-07-10T22:49:42+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-07-10T22:49:43+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-07-10T23:13:52+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-07-10T23:13:52+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6ff79470f2; save: Dwarf; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
